season,season_label,team,player,age_ref
2425,2024/2025,1. FC Heidenheim 1846,Adrian Beck,27.813826146475016
2425,2024/2025,1. FC Heidenheim 1846,Benedikt Gimber,28.358658453114305
2425,2024/2025,1. FC Heidenheim 1846,Budu Zivzivadze,30.740588637919235
2425,2024/2025,1. FC Heidenheim 1846,Denis Thomalla,32.87063655030801
2425,2024/2025,1. FC Heidenheim 1846,Frank Feller,20.996577686516083
2425,2024/2025,1. FC Heidenheim 1846,Frans Krätzig,22.458590006844627
2425,2024/2025,1. FC Heidenheim 1846,Jan Schöppner,25.56605065023956
2425,2024/2025,1. FC Heidenheim 1846,Jonas Föhrenbach,29.426420260095824
2425,2024/2025,1. FC Heidenheim 1846,Julian Niehues,24.202600958247775
2425,2024/2025,1. FC Heidenheim 1846,Kevin Müller,34.2943189596167
2425,2024/2025,1. FC Heidenheim 1846,Lennard Maloney,25.88911704312115
2425,2024/2025,1. FC Heidenheim 1846,Luca Kerber,22.740588637919235
2425,2024/2025,1. FC Heidenheim 1846,Luka Janes,21.44558521560575
2425,2024/2025,1. FC Heidenheim 1846,Léo Scienza,26.795345653661876
2425,2024/2025,1. FC Heidenheim 1846,Marnon Busch,30.882956878850102
2425,2024/2025,1. FC Heidenheim 1846,Marvin Pieringer,26.223134839151268
2425,2024/2025,1. FC Heidenheim 1846,Mathias Honsak,28.525667351129364
2425,2024/2025,1. FC Heidenheim 1846,Maximilian Breunig,24.876112251882272
2425,2024/2025,1. FC Heidenheim 1846,Mikkel Kaufmann,24.331279945242983
2425,2024/2025,1. FC Heidenheim 1846,Niklas Dorsch,27.45516769336071
2425,2024/2025,1. FC Heidenheim 1846,Norman Theuerkauf,38.431211498973305
2425,2024/2025,1. FC Heidenheim 1846,Omar-Haktab Traoré,27.24435318275154
2425,2024/2025,1. FC Heidenheim 1846,Patrick Mainka,31.052703627652292
2425,2024/2025,1. FC Heidenheim 1846,Paul Wanner,19.51813826146475
2425,2024/2025,1. FC Heidenheim 1846,Sirlord Conteh,28.810403832991103
2425,2024/2025,1. FC Heidenheim 1846,Stefan Schimmer,31.173169062286107
2425,2024/2025,1. FC Heidenheim 1846,Thomas Keller,26.146475017111566
2425,2024/2025,1. FC Heidenheim 1846,Tim Siersleben,24.82135523613963
2425,2024/2025,1. FC Heidenheim 1846,Vitus Eicher,35.13757700205339
2425,2024/2025,1. FC Union Berlin,Alexander Schwolow,33.39630390143737
2425,2024/2025,1. FC Union Berlin,Aljoscha Kemlein,21.39082819986311
2425,2024/2025,1. FC Union Berlin,Andrej Ilic,25.322381930184804
2425,2024/2025,1. FC Union Berlin,András Schäfer,26.21492128678987
2425,2024/2025,1. FC Union Berlin,Benedict Hollerbach,24.12046543463381
2425,2024/2025,1. FC Union Berlin,Carl Klaus,31.45242984257358
2425,2024/2025,1. FC Union Berlin,Christopher Trimmel,38.34633812457221
2425,2024/2025,1. FC Union Berlin,Danilho Doekhi,27.000684462696782
2425,2024/2025,1. FC Union Berlin,David Preu,20.67624914442163
2425,2024/2025,1. FC Union Berlin,Diogo Leite,26.43394934976044
2425,2024/2025,1. FC Union Berlin,Frederik Ronnow,33.22655715263518
2425,2024/2025,1. FC Union Berlin,Ivan Prtajin,29.127994524298426
2425,2024/2025,1. FC Union Berlin,Janik Haberer,31.40041067761807
2425,2024/2025,1. FC Union Berlin,Jeong Woo-Yeong,25.776865160848732
2425,2024/2025,1. FC Union Berlin,Jordan Pefok,29.177275838466805
2425,2024/2025,1. FC Union Berlin,Josip Juranovic,29.872689938398356
2425,2024/2025,1. FC Union Berlin,Jérôme Roussillon,32.07939767282683
2425,2024/2025,1. FC Union Berlin,Kevin Vogt,33.76865160848734
2425,2024/2025,1. FC Union Berlin,Kevin Volland,32.917180013689254
2425,2024/2025,1. FC Union Berlin,Leopold Querfeld,21.527720739219713
2425,2024/2025,1. FC Union Berlin,Lucas Tousart,28.16974674880219
2425,2024/2025,1. FC Union Berlin,László Bénes,27.805612594113622
2425,2024/2025,1. FC Union Berlin,Marin Ljubicic,23.3347022587269
2425,2024/2025,1. FC Union Berlin,Oluwaseun Ogbemudia,18.951403148528406
2425,2024/2025,1. FC Union Berlin,Paul Jaeckel,26.940451745379878
2425,2024/2025,1. FC Union Berlin,Rani Khedira,31.422313483915126
2425,2024/2025,1. FC Union Berlin,Robert Skov,29.111567419575632
2425,2024/2025,1. FC Union Berlin,Robin Gosens,31.148528405201915
2425,2024/2025,1. FC Union Berlin,Tim Skarke,28.974674880219027
2425,2024/2025,1. FC Union Berlin,Tom Rothe,20.66803559206023
2425,2024/2025,1. FC Union Berlin,Yorbe Vertessen,23.912388774811774
2425,2024/2025,Bayer Leverkusen,Aleix García,28.005475701574266
2425,2024/2025,Bayer Leverkusen,Alejandro Grimaldo,29.776865160848732
2425,2024/2025,Bayer Leverkusen,Alejo Sarco,19.080082135523615
2425,2024/2025,Bayer Leverkusen,Amine Adli,24.733744010951405
2425,2024/2025,Bayer Leverkusen,Andrea Natali,17.420944558521562
2425,2024/2025,Bayer Leverkusen,Artem Stepanov,17.727583846680357
2425,2024/2025,Bayer Leverkusen,Arthur,22.288843258042437
2425,2024/2025,Bayer Leverkusen,Edmond Tapsoba,26.406570841889117
2425,2024/2025,Bayer Leverkusen,Emiliano Buendía,28.511978097193705
2425,2024/2025,Bayer Leverkusen,Exequiel Palacios,27.140314852840522
2425,2024/2025,Bayer Leverkusen,Florian Wirtz,22.321697467488022
2425,2024/2025,Bayer Leverkusen,Francis-Ikechukwu Onyeka,18.171115674195757
2425,2024/2025,Bayer Leverkusen,Granit Xhaka,32.75564681724846
2425,2024/2025,Bayer Leverkusen,Jeanuël Belocian,20.36413415468857
2425,2024/2025,Bayer Leverkusen,Jeremie Frimpong,24.71457905544148
2425,2024/2025,Bayer Leverkusen,Jonas Hofmann,27.994524298425734
2425,2024/2025,Bayer Leverkusen,Jonathan Tah,28.657084188911703
2425,2024/2025,Bayer Leverkusen,Kerim-Sam Alajbegovic,17.7741273100616
2425,2024/2025,Bayer Leverkusen,Lukas Hradecky,35.59753593429158
